Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT5G05090	-1.18594578528238	2.66153126166732	-6.28307805662574	3.33526687757425e-06	0.000570234118032793	4.59404249019431
AT1G73600	2.36016393756558	5.81583854222349	6.28283889587034	3.33703011729627e-06	0.000570234118032793	4.56659593159936
AT5G45200	1.01488188939474	3.60098817039306	6.27417492891137	3.40155498501168e-06	0.000570234118032793	4.61612601669851
AT3G07410	1.04279905738427	4.10943463926132	6.2734190901286	3.40724442519491e-06	0.000570234118032793	4.59998155097568
AT3G50400	-1.9454399637199	5.00866993452845	-6.27204675515972	3.4175993847764e-06	0.000570234118032793	4.55800335959507
AT1G04680	0.935878590490995	6.55239493176833	6.26395552387513	3.47931128541001e-06	0.000570234118032793	4.47537179748301
AT3G49680	0.680543299614003	6.11049759271025	6.2603460400273	3.50720828600569e-06	0.000570234118032793	4.46987889089082
AT1G28170	-2.01301220511221	2.03461477396816	-6.25416436183702	3.55551917531373e-06	0.000570234118032793	4.34472132580545
AT1G61820	-1.29445406866446	6.61489893009414	-6.2529029174428	3.56546111357141e-06	0.000570234118032793	4.45282923856605
AT3G02020	2.25851330436594	6.75885921907195	6.25251228774928	3.56854559572019e-06	0.000570234118032793	4.45460672877124
AT1G07820	0.820234308223757	6.3342506545959	6.25223636545271	3.57072597629643e-06	0.000570234118032793	4.45232291098194
AT3G58990	2.07918317362657	5.98044795650966	6.24509467177326	3.62763847889982e-06	0.000574967061166979	4.45817033440155
AT5G05560	0.953265711840523	4.54352395736902	6.23263926450934	3.72913165486884e-06	0.000575478373068154	4.48811173491571
AT1G36370	-0.603497788874012	5.76076838666775	-6.23206266138977	3.73390001716004e-06	0.000575478373068154	4.41780871339203
AT5G55820	1.12333465192769	4.71763834855685	6.22819408975494	3.76605419215169e-06	0.000575478373068154	4.46947083132464
AT3G63430	1.56872519657613	3.70736497939476	6.22807320101619	3.76706353705168e-06	0.000575478373068154	4.51851644986906
AT1G80180	-1.01304176697548	6.85120646411346	-6.22803732131417	3.7673631633494e-06	0.000575478373068154	4.39336026008372
AT3G01970	-1.56479379021079	2.3750106849086	-6.21340058856639	3.89165339979423e-06	0.000590187436458003	4.38452182428032
AT4G13770	1.93919142627578	7.29343635432939	6.20641789175643	3.95242136726401e-06	0.000595121731585181	4.34588333338061
AT4G10500	-2.46427242257326	2.81915717867927	-6.18770282773828	4.12013450665124e-06	0.000615902799989261	4.40631621124091
AT2G34310	-0.568416400243153	5.1492126409872	-6.18457465282469	4.1488708538176e-06	0.000615902799989261	4.34564775325334
AT5G28919	0.732288426428003	5.49014332208468	6.16878025745902	4.29713110726783e-06	0.000633451214973468	4.2988135237993
AT2G44230	-1.30687340237061	5.20853431690868	-6.16258971020062	4.35671221812106e-06	0.000637774260819388	4.29455926454696
AT5G23920	-1.27417044398673	5.98480735875005	-6.1530618155642	4.45007256721832e-06	0.000646948480806636	4.25021845359373
AT1G75370	-0.601719938241772	5.83120012390398	-6.14601690595631	4.52041931247872e-06	0.000652674240459256	4.22903046371634
AT1G50010	0.587553352128435	8.7891261669151	6.1378673511164	4.6032195100564e-06	0.000660107940625774	4.19638658441851
AT1G01510	0.481007531334626	5.65790979723348	6.13182239583955	4.66563926647165e-06	0.000664538349575827	4.20863108179303
AT2G39220	2.29831172133885	3.36015637726759	6.11806251073663	4.81097657649863e-06	0.000680640176057658	4.28293185450516
AT5G55530	0.537297610899034	5.74327191144776	6.10443733560844	4.95946351863356e-06	0.000696122607514331	4.1409474014921
AT5G59870	1.0506469096137	6.41750826780587	6.10200534959023	4.98645700828577e-06	0.000696122607514331	4.11885160115725
AT5G13240	-0.696335239878081	4.89936556075579	-6.08383989868647	5.19290100770071e-06	0.000720173376594282	4.14703740952952
AT4G34750	1.0193364740281	3.73687164734448	6.07514268180537	5.29482038675288e-06	0.000726813771798735	4.18478379316075
AT1G71870	1.2348809715218	5.10035060834903	6.07008087878244	5.35507847603456e-06	0.000726813771798735	4.09051194103864
AT1G63100	1.80743758422559	4.508851221345	6.06803505588694	5.37963175780453e-06	0.000726813771798735	4.1437613876359
AT1G54120	-1.01300743345774	2.5964766407924	-6.0674959805499	5.38612072822359e-06	0.000726813771798735	4.14326527093648
AT3G12810	0.507272713294668	5.78763502072641	6.06525544299161	5.41317657364333e-06	0.000726813771798735	4.050706987926
AT4G28040	-1.53078057617163	4.79768652417176	-6.0619007861735	5.45394649922414e-06	0.000727653115212942	4.10686067892181
AT2G36570	1.7063759311155	5.41381258160188	6.05487013064204	5.54041473919338e-06	0.000733054192798899	4.05444038939348
AT5G36160	-0.770094943733099	5.65689991991484	-6.05208622493784	5.5750400616301e-06	0.000733054192798899	4.02692499193082
AT3G09440	1.21675831037998	7.81557634834657	6.04709349630149	5.63769400789186e-06	0.000733054192798899	3.99159215858317
AT5G48070	2.05786365229449	4.14069029626187	6.04490537028761	5.66537964407215e-06	0.000733054192798899	4.09784955636571
AT2G04240	-0.799208882688998	4.70282561946742	-6.04467493986976	5.66830329346397e-06	0.000733054192798899	4.06768949261645
AT2G40480	1.29252744128659	5.34635734360515	6.03839772606038	5.74854414634808e-06	0.000736191204066412	4.01583079620339
AT4G35730	1.32252012542306	3.56672946967379	6.03732229948397	5.76240743220863e-06	0.000736191204066412	4.11015357142124
AT3G59765	1.41871856152726	3.12659502635305	6.02805115590563	5.88334995599339e-06	0.000747114560676751	4.09518877233042
AT1G17665	1.70276557304923	1.31974855365945	6.01418355436751	6.0691234481848e-06	0.00076437148484863	3.75590673416024
AT3G54820	1.80469939361511	2.38611899332052	6.0125231774704	6.09176515439136e-06	0.00076437148484863	4.01466941617115
AT2G13540	0.654098768721288	5.67163373075792	6.00697072223731	6.16811106206863e-06	0.000766151647064109	3.92673828184216
AT2G41460	0.700336831826219	3.45139716030599	6.00621033478099	6.17864231503314e-06	0.000766151647064109	4.04797921816394
AT3G02120	1.27823860351712	4.01450701460707	6.00159483743516	6.242962337834e-06	0.000769600269482694	4.01457084505633
AT4G35720	2.81625290620199	2.08550932464142	5.99269537963462	6.3689236676858e-06	0.00078056343555126	3.87978573938107
AT5G18700	1.02846661162389	4.900255347624	5.97707149865585	6.59638864028646e-06	0.000802098919309442	3.90568938072583
AT5G54160	-0.889190098064534	8.87755005858848	-5.97543161059201	6.62074060530564e-06	0.000802098919309442	3.83720958038633
AT2G43100	1.75084050095033	6.30154322068574	5.97126205340339	6.68307272235501e-06	0.000805023845641392	3.83719883763144
AT1G30820	1.39477953916741	6.80168812578879	5.96537089064731	6.77216682106481e-06	0.000808173763810409	3.81390427322505
AT1G76540	1.01741718178178	4.86038641176	5.96446992100457	6.78589925021074e-06	0.000808173763810409	3.87898124168061
AT4G34450	0.372583021330668	8.6764178912767	5.9552288417647	6.92840584362556e-06	0.000820157711097636	3.78997921693964
AT1G12970	-0.742310772883608	4.49633181857153	-5.95292949962537	6.9643373001175e-06	0.000820157711097636	3.87341143786472
AT4G33550	-2.22320070377712	4.27498193009093	-5.94849138606617	7.03423106681432e-06	0.000823786616046921	3.89912590380234
AT1G69440	0.855511756109746	2.98130572315702	5.94600219531224	7.07374585948131e-06	0.000823837363082133	3.91902314639881
AT5G63950	0.709443966345626	5.43896043850344	5.93120382504717	7.31339739346296e-06	0.000847068225572523	3.76948169214931
AT4G21820	1.41086944055288	3.39590541256019	5.91670346687508	7.55628278657807e-06	0.000860713486506811	3.85427071572476
AT3G19030	0.659214676581063	6.56305254192552	5.91505828115105	7.58435640229098e-06	0.000860713486506811	3.70001619239141
AT5G57110	0.737285289913397	7.72396643169921	5.91257810509644	7.62688014899549e-06	0.000860713486506811	3.69085286397814
AT1G07040	-0.581588442764708	4.95710231289095	-5.90987468598074	7.6735093315026e-06	0.000860713486506811	3.7535492374991
AT5G10390	1.12466255525904	4.27562313052175	5.90667202658647	7.7291270081934e-06	0.000860713486506811	3.79766385575654
AT5G45110	-0.921963485069088	5.06150820369502	-5.90633664497129	7.73497507261643e-06	0.000860713486506811	3.74562025683144
AT1G20693	0.646979925000245	7.29339705917343	5.90506706603422	7.75715379568781e-06	0.000860713486506811	3.67297328478608
AT3G18900	2.59392651306312	1.69054596001193	5.90502704432388	7.7578540055168e-06	0.000860713486506811	3.63778481197756
AT1G72730	0.950425720049028	5.7523995806663	5.89949911952027	7.85519291598014e-06	0.000861953713377063	3.6903044445233
AT3G58650	1.16639561381887	3.92788315168609	5.89847290826465	7.87340004252662e-06	0.000861953713377063	3.79305858247867
AT1G07400	-4.67812079005207	3.12973397959888	-5.89675363546563	7.90400029815291e-06	0.000861953713377063	3.72326141889817
AT5G54940	-0.969177311267369	7.4432364693815	-5.8951534032995	7.9325911003392e-06	0.000861953713377063	3.65111460631872
AT3G26450	-1.27589930668123	6.60201537239111	-5.88999436662234	8.02548799190062e-06	0.000867575830098795	3.64582904427786
AT3G06130	0.673248885153648	5.48786053245038	5.87410052345429	8.31873648218553e-06	0.000894688597165668	3.64710605340728
AT2G32560	-1.20107793070819	5.52232336535669	-5.8704422526038	8.38777053134167e-06	0.000895751358346001	3.63890459067919
AT3G19490	0.551760024011416	5.28143738498711	5.86693405313687	8.45452282755957e-06	0.000895751358346001	3.63439468719233
AT5G11330	-0.741120482253621	4.29486299156904	-5.8668516749576	8.45609678893995e-06	0.000895751358346001	3.70674639769043
AT3G08690	-0.624991256952319	5.12911102658719	-5.86246142161804	8.54041418443916e-06	0.000900159655039888	3.64006105899244
AT5G59540	-1.34347153561573	5.61379527515216	-5.85526612310407	8.68046731646547e-06	0.000910277879516604	3.60293948753883
AT4G27940	0.646144698236775	3.86141689884562	5.85311578663841	8.72277664432419e-06	0.000910277879516604	3.70435841744201
AT1G52700	3.41336627933642	1.10591503416031	5.84410645953802	8.90234572591664e-06	0.000924440630060703	3.2012094499666
AT5G51600	1.31375097196856	4.34491637828096	5.83990276410854	8.9874200696732e-06	0.000925051803783701	3.63824833090788
AT5G22020	-0.951068038802867	6.34467105895133	-5.839481212588	8.99599714305781e-06	0.000925051803783701	3.53362397837602
AT5G12030	-6.63932294135882	2.99340910293669	-5.8259853285157	9.27505773631607e-06	0.000949117558648265	3.13630873666648
AT4G26660	1.37717807565771	4.47288263715769	5.82259340685712	9.346575130133e-06	0.000949947957782325	3.59449127400853
AT5G64310	1.24949167846917	5.26157524072953	5.81741629436709	9.45682085306758e-06	0.000949947957782325	3.54000724873061
AT1G53140	1.20791862574735	4.00464930838212	5.81735246712596	9.45818830488887e-06	0.000949947957782325	3.613342065309
AT2G29550	0.960047368999516	7.61298972781546	5.81710796647204	9.46342842193018e-06	0.000949947957782325	3.4765519812628
AT1G12160	0.706188076366161	4.95681683546944	5.79803898144228	9.88138895052033e-06	0.000982632087688853	3.51372906391808
AT4G14960	0.471067423250702	9.35650841390454	5.79790605058813	9.8843678518448e-06	0.000982632087688853	3.44384199769331
AT2G30550	-1.08049943581875	4.6572051867766	-5.795924924292	9.92887261279533e-06	0.000982632087688853	3.5280430951631
AT5G42580	-2.3301526647706	3.75467221498418	-5.7926000670337	1.00040241229725e-05	0.000983251213903464	3.59074582052411
AT3G54450	3.19047166843345	-0.488951208262319	5.79152640001722	1.00284160810837e-05	0.000983251213903464	1.90447306364092
AT3G03890	-0.713655913726532	4.78291546465966	-5.78502165921549	1.01774980165712e-05	0.000993248417543153	3.49065341503477
AT1G48320	-0.75800758705246	4.45149094381501	-5.77882365999422	1.03216565146666e-05	0.00100046652776515	3.5000588766474
AT3G53830	-1.99198288768151	3.77638453900469	-5.77776955464622	1.03463806002278e-05	0.00100046652776515	3.55193121204014
AT1G02730	1.31186529358202	6.03715093174967	5.77143048569348	1.04963450518345e-05	0.00101033312188434	3.39103222748611
AT5G13980	0.491753268027091	7.17665886669217	5.75726091795145	1.08396382472617e-05	0.00103671002217981	3.3408920339751
AT3G60740	0.595553721403724	5.19595815885231	5.75346206388034	1.09336098462565e-05	0.00103671002217981	3.38467700946063
AT5G24300	-1.03371033600564	5.17529948242279	-5.75343899635029	1.09341829983325e-05	0.00103671002217981	3.3924453218658
AT3G07160	0.404301603897468	7.61291541848692	5.75211651406899	1.0967093688145e-05	0.00103671002217981	3.3297355690397
AT3G05840	-0.433874758909063	7.41838729376545	-5.74986548830247	1.10233445398904e-05	0.00103727819369177	3.32426812648701
AT1G67325	-0.375867402091006	5.04361613184468	-5.74459858693996	1.11561132736007e-05	0.00103727819369177	3.38566247073038
AT3G27820	-0.780825859220638	6.81824780144266	-5.74314717694125	1.1192986856353e-05	0.00103727819369177	3.31102312739409
AT5G25754	0.633322638432996	4.681743253798	5.74192314307733	1.12241806067079e-05	0.00103727819369177	3.40370398404304
AT3G11830	0.867246249615511	7.87891428498101	5.7404621385077	1.12615296687194e-05	0.00103727819369177	3.30444327761326
AT2G22400	1.03091969454949	6.18274579979924	5.74019608481939	1.12683447037674e-05	0.00103727819369177	3.31606272854524
AT1G73480	-1.34570886571787	3.86666764988211	-5.73207469828357	1.14784153748323e-05	0.00104582505485338	3.44171518644992
